TIME_NANOSECONDS_TAI,DATA_DELTA_VEL[1],DATA_DELTA_VEL[2],DATA_DELTA_VEL[3],DATA_DELTA_ANGLE[1],DATA_DELTA_ANGLE[2],DATA_DELTA_ANGLE[3]
1.60259601082931e+18,-0.1898193359375,-0.00103759765625,-0.0489501953125,0,0,-1.9073486328125e-06
1.6025960108493e+18,-0.18927001953125,-0.00128173828125,-0.0487060546875,0,0,-1.9073486328125e-06
1.6025960108693e+18,-0.188232421875,-0.00018310546875,-0.04949951171875,0,1.9073486328125e-06,1.9073486328125e-06
1.60259601088931e+18,-0.1905517578125,-0.000732421875,-0.04925537109375,-1.9073486328125e-06,-1.9073486328125e-06,-1.9073486328125e-06
1.6025960109093e+18,-0.18719482421875,6.103515625e-05,-0.0487060546875,1.9073486328125e-06,0,-1.9073486328125e-06
1.6025960109293e+18,-0.18896484375,-0.000732421875,-0.0489501953125,-3.814697265625e-06,0,0
1.60259601094931e+18,-0.1900634765625,-0.00128173828125,-0.0487060546875,-1.9073486328125e-06,1.9073486328125e-06,0
1.60259601096929e+18,-0.188232421875,0.0001220703125,-0.04925537109375,3.814697265625e-06,3.814697265625e-06,-3.814697265625e-06
1.6025960109893e+18,-0.188720703125,-0.000732421875,-0.04864501953125,-1.9073486328125e-06,1.9073486328125e-06,0
1.6025960110093e+18,-0.1895751953125,6.103515625e-05,-0.0498046875,-5.7220458984375e-06,1.9073486328125e-06,0
1.60259601102931e+18,-0.18841552734375,-0.000732421875,-0.0487060546875,-1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1.6025960110493e+18,-0.18902587890625,-0.00048828125,-0.0498046875,0,1.9073486328125e-06,-1.9073486328125e-06
1.6025960110693e+18,-0.18902587890625,-0.0009765625,-0.04840087890625,-1.9073486328125e-06,-1.9073486328125e-06,0
1.6025960110893e+18,-0.18951416015625,-0.000732421875,-0.04925537109375,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601110929e+18,-0.1884765625,-0.00079345703125,-0.0489501953125,3.814697265625e-06,0,1.9073486328125e-06
1.6025960111293e+18,-0.188720703125,-0.00018310546875,-0.0478515625,-1.9073486328125e-06,0,-1.9073486328125e-06
1.6025960111493e+18,-0.19012451171875,-0.0009765625,-0.05035400390625,-3.814697265625e-06,1.9073486328125e-06,1.9073486328125e-06
1.60259601116929e+18,-0.188720703125,-0.00103759765625,-0.0478515625,1.9073486328125e-06,3.814697265625e-06,-1.9073486328125e-06
1.6025960111893e+18,-0.18792724609375,0.0003662109375,-0.0498046875,-3.814697265625e-06,0,0
1.6025960112093e+18,-0.1898193359375,-0.00152587890625,-0.0489501953125,-3.814697265625e-06,0,-3.814697265625e-06
1.6025960112293e+18,-0.18896484375,-0.000732421875,-0.04925537109375,-3.814697265625e-06,-1.9073486328125e-06,0
1.60259601124929e+18,-0.1895751953125,-0.00103759765625,-0.04925537109375,0,0,-1.9073486328125e-06
1.6025960112693e+18,-0.1873779296875,-0.00018310546875,-0.04925537109375,0,1.9073486328125e-06,-1.9073486328125e-06
1.6025960112893e+18,-0.1895751953125,0.0003662109375,-0.0491943359375,0,0,0
1.60259601130929e+18,-0.188720703125,-0.00079345703125,-0.0487060546875,0,0,1.9073486328125e-06
1.6025960113293e+18,-0.1898193359375,-0.00152587890625,-0.0487060546875,1.9073486328125e-06,0,0
1.6025960113493e+18,-0.18817138671875,6.103515625e-05,-0.050048828125,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601136929e+18,-0.18902587890625,-0.00177001953125,-0.04815673828125,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601138929e+18,-0.188720703125,-0.00103759765625,-0.04949951171875,3.814697265625e-06,1.9073486328125e-06,-1.9073486328125e-06
1.6025960114093e+18,-0.1895751953125,6.103515625e-05,-0.049560546875,-1.9073486328125e-06,3.814697265625e-06,0
1.6025960114293e+18,-0.18841552734375,-0.0009765625,-0.04840087890625,0,1.9073486328125e-06,0
1.60259601144929e+18,-0.19036865234375,-0.00103759765625,-0.0491943359375,-1.9073486328125e-06,0,-3.814697265625e-06
1.60259601146929e+18,-0.18927001953125,-0.000732421875,-0.04925537109375,-3.814697265625e-06,5.7220458984375e-06,0
1.6025960114893e+18,-0.18927001953125,-0.00128173828125,-0.0489501953125,1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601150929e+18,-0.188232421875,0.00091552734375,-0.049560546875,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601152929e+18,-0.1900634765625,-0.00238037109375,-0.04864501953125,0,0,-1.9073486328125e-06
1.6025960115493e+18,-0.18817138671875,0.0006103515625,-0.0487060546875,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601156929e+18,-0.18902587890625,-0.0009765625,-0.049560546875,1.9073486328125e-06,1.9073486328125e-06,0
1.60259601158929e+18,-0.18927001953125,-0.000732421875,-0.04949951171875,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601160929e+18,-0.1900634765625,-0.000732421875,-0.04925537109375,0,1.9073486328125e-06,0
1.6025960116293e+18,-0.188232421875,-0.00018310546875,-0.04864501953125,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1.60259601164929e+18,-0.188720703125,-0.00048828125,-0.04925537109375,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601166929e+18,-0.1884765625,-0.00103759765625,-0.0487060546875,0,1.9073486328125e-06,-1.9073486328125e-06
1.6025960116893e+18,-0.18951416015625,-0.000732421875,-0.04864501953125,3.814697265625e-06,3.814697265625e-06,-1.9073486328125e-06
1.60259601170928e+18,-0.18927001953125,-0.00042724609375,-0.049560546875,0,0,-1.9073486328125e-06
1.60259601172929e+18,-0.1898193359375,-0.00103759765625,-0.04925537109375,0,1.9073486328125e-06,0
1.60259601174929e+18,-0.18927001953125,-0.00152587890625,-0.04864501953125,-1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1.6025960117693e+18,-0.1884765625,-0.00018310546875,-0.049560546875,-1.9073486328125e-06,1.9073486328125e-06,0
